Tên,Giá,Công nghệ CPU,Số nhân,Số luồng,Tốc độ CPU,Tốc độ tối đa,Bộ nhớ đệm,RAM,Loại RAM,Tốc độ Bus RAM,Hỗ trợ RAM tối đa,Ổ cứng,Màn hình,Độ phân giải,Tần số quét,Công nghệ màn hình,Màn hình cảm ứng,Card màn hình,Công nghệ âm thanh,Cổng giao tiếp,Kết nối không dây,Khe đọc thẻ nhớ,Webcam,Tính năng khác,Đèn bàn phím,"Kích thước, trọng lượng",Chất liệu,Thông tin Pin,Hệ điều hành,Thời điểm ra mắt
Laptop Dell Inspiron 7501 i5 10300H/8GB/512GB/4GB GTX1650Ti/Win10 (N5I5012W),30.090.000₫,Intel Core i5 Comet Lake - 10300H,4,8,2.50 GHz,Turbo Boost 4.5 GHz,8 MB,8 GB,DDR4 2 khe (1 khe 8GB onboard + 1 khe trống),2933 MHz,24 GB,512 GB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,15.6 inch,Full HD (1920 x 1080),60 Hz,"LED Backlight - AntiGlare
100% sRGB
Độ sáng 300 nits
WVA",,Card rời - NVIDIA GeForce GTX 1650Ti 4 GB,Realtek High Definition Audio,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
USB Type-C",Wi-Fi 6 (802.11ax) Bluetooth 5.1,Micro SD,HD webcam,Bảo mật vân tay,Có,Dài 356.1 mm - Rộng 234.5 mm - Dày 18.9 mm - Nặng 1.9 kg,Vỏ kim loại,"3-cell Li-ion, 56 Wh",Windows 10 Home SL,2020
Laptop MSI Katana Gaming GF66 11UC i7 11800H/8GB/512GB/4GB RTX3050/144HzBalo/Win10 (224VN),29.790.000₫,Intel Core i7 Tiger Lake - 11800H,8,16,2.30 GHz,Turbo Boost 4.6 GHz,24 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,64 GB,512 GB SSD NVMe PCIe Không hỗ trợ khe cắm SSD M2 mở rộng thêm,15.6 inch,Full HD (1920 x 1080),144 Hz,LED Tấm nền IPS,,"Card rời - NVIDIA GeForce RTX3050, 4 GB",Nahimic Audio,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)
USB 2.0
USB Type-C",Bluetooth 5.2 Wi-Fi 6 (802.11ax),,HD webcam,,Có,Dài 359 mm - Rộng 259 mm - Dày 24.9 mm - Nặng 2.1 kg,Vỏ nhựa,"3-cell Li-ion, 53 Wh",Windows 10 Home SL,2021
Laptop GIGABYTE Gaming G5 i5 10500H/16GB/512GB/6GB RTX3060/144Hz/Win10 (5S11130SH),29.590.000₫,Intel Core i5 Comet Lake - 10500H,6,12,2.50 GHz,Turbo Boost 4.5 GHz,12 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,64 GB,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)
512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",15.6 inch,Full HD (1920 x 1080),144 Hz,Chống chói Anti Glare Công nghệ IPS,,"Card rời - NVIDIA GeForce RTX 3060, 6 GB",DTS X:Ultra Audio,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
Mini DisplayPort
USB 2.0
USB Type-C",Bluetooth 5.2 Wi-Fi 6 (802.11ax),SD,HD webcam,,Có,Dài 361 mm - Rộng 258 mm - Dày 24.9 mm - Nặng 2.2 kg,Vỏ nhựa,"4-cell Li-ion, 41 Wh",Windows 10 Home SL,2021
Laptop GIGABYTE Gaming G5 i5 11400H/16GB/512GB/4GB RTX3050Ti/144Hz/Win10 (51S1123SH),29.590.000₫,Intel Core i5 Tiger Lake - 11400H,6,12,2.70 GHz,Turbo Boost 4.5 GHz,12 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,64 GB,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)
512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",15.6 inch,Full HD (1920 x 1080),144 Hz,Chống chói Anti Glare Công nghệ IPS,,"Card rời - NVIDIA GeForce RTX3050Ti, 4 GB",DTS X:Ultra Audio,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
Mini DisplayPort
USB 2.0
USB Type-C",Bluetooth 5.2 Wi-Fi 6 (802.11ax),SD,HD webcam,,Có,Dài 361 mm - Rộng 258 mm - Dày 24.9 mm - Nặng 2.2 kg,Vỏ nhựa,"4-cell Li-ion, 41 Wh",Windows 10 Home SL,2021
Laptop Dell Gaming G3 15 i7 10750H/16GB/512GB/4GB GTX1650Ti/120Hz/Win10 (P89F002DBL),29.490.000₫,Intel Core i7 Comet Lake - 10750H,6,12,2.60 GHz,Turbo Boost 5.0 GHz,12 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),2933 MHz,16 GB,Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB) 512 GB SSD NVMe PCIe,15.6 inch,Full HD (1920 x 1080),120 Hz,LED WVA,,Card rời - NVIDIA GeForce GTX 1650Ti 4 GB,Nahimic 3,"1 x USB 3.2
2 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,,Có,Dài 364.46 mm - Rộng 254 mm - Dày 30.96 mm - Nặng 2.58 kg,Vỏ nhựa,"3-cell Li-ion, 51 Wh",Windows 10 Home SL,2020
Laptop Lenovo Yoga Duet 7 13IML05 i7 10510U/8GB/512GB/Touch/Pen/Win10 (82AS007CVN),29.490.000₫ *,Intel Core i7 Comet Lake - 10510U,4,8,1.80 GHz,Turbo Boost 4.9 GHz,8 MB,8 GB,DDR4 (On board),2666 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,13 inch,WQHD (2160x1350),,"Tấm nền IPS
450 nits Glossy
Dolby Vision",Có,Card tích hợp - Intel UHD Graphics,Dolby AudioPremium,"2 x USB Type-C (Power Delivery and DisplayPort)
USB Type-C
Jack tai nghe 3.5 mm",Bluetooth 5.0 Wi-Fi 6 (802.11ax),Micro SD,"Sau 5 MP, trước 5 MP Camera IR",Digital Pen Mở khóa khuôn mặt,Có,Dài 297.4 mm - Rộng 207.4 mm - Dày 9.19 mm - Nặng 1.1683 kg,Vỏ kim loại,"Li-Polymer, 42 Wh",Windows 10 Home SL,2020
Laptop Asus TUF Gaming FX706HC i7 11800H/8GB/512GB/4GB RTX3050/144Hz/Win10 (HX009T),29.490.000₫,Intel Core i7 Tiger Lake - 11800H,8,16,2.30 GHz,Turbo Boost 4.6 GHz,24 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",17.3 inch,Full HD (1920 x 1080),144 Hz,"250 nits
Chống chói Anti Glare
Tấm nền IPS",,"Card rời - NVIDIA GeForce RTX3050, 4 GB",DTS Audio,"3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
Thunderbolt 4 USB-C",Bluetooth 5.2 Wi-Fi 6 (802.11ax),,HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 399 mm - Rộng 269 mm - Dày 23.9 mm - Nặng 2.6 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 48 Wh",Windows 10 Home SL,2021
Laptop HP Pavilion Gaming 16 a0109TX i7 10870H/8GB/32GB+512GB/4GB GTX1650Ti/Win10 (31J26PA),29.390.000₫ *,Intel Core i7 Comet Lake - 10870H,8,16,2.20 GHz,Turbo Boost 5.0 GHz,16 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,"512 GB SSD NVMe PCIe
Intel Optane 32GB (H10)
Hỗ trợ khe cắm HDD SATA",16.1 inch,Full HD (1920 x 1080),60 Hz,"Wled-backlit
Tấm nền IPS
Chống chói Anti Glare",,Card rời - NVIDIA GeForce GTX 1650Ti 4 GB,Bang & Olufsen audio,"Jack tai nghe 3.5 mm
HDMI
LAN (RJ45)
2 x USB 3.1
USB Type-C",Bluetooth 5.0 Wi-Fi 6 (802.11ax),SD,HD webcam,,Có,Dài 370 mm - Rộng 262.5 mm - Dày 23.5 mm - Nặng 2.35 kg,Vỏ nhựa,"3-cell Li-ion, 52.5 Wh",Windows 10 Home SL,2020
Laptop Acer Nitro 5 Gaming AN515 57 727J i7 11800H/8GB/512GB/4GB RTX3050Ti/144Hz/Win10 (NH.QD9SV.005.),28.990.000₫ *,Intel Core i7 Tiger Lake - 11800H,8,16,2.30 GHz,Turbo Boost 4.6 GHz,24 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng
512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",15.6 inch,Full HD (1920 x 1080),144 Hz,"Acer ComfyView
LED Backlit
Tấm nền IPS",,"Card rời - NVIDIA GeForce RTX3050Ti, 4 GB",Acer TrueHarmony DTS X:Ultra Audio,"3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 5.1 Wi-Fi 6 (802.11ax),,HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Vỏ nhựa,"4-cell Li-ion, 57 Wh",Windows 10 Home SL,2021
Laptop Acer Nitro 5 Gaming AN515 57 74NU i7 11800H/8GB/512GB/4GB RTX3050Ti/144Hz/Balo/Win10 (NH.QD9SV.001.),28.990.000₫ *,Intel Core i7 Tiger Lake - 11800H,8,16,2.30 GHz,Turbo Boost 4.6 GHz,24 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)
Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)",15.6 inch,Full HD (1920 x 1080),144 Hz,"Tấm nền IPS
LED Backlit
Acer ComfyView",,"Card rời - NVIDIA GeForce RTX3050Ti, 4 GB",Acer TrueHarmony DTS X:Ultra Audio,"Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
LAN (RJ45)
USB Type-C",Wi-Fi 6 (802.11ax) Bluetooth 5.1,,HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Vỏ nhựa,"4-cell Li-ion, 57 Wh",Windows 10 Home SL,2021
Laptop Lenovo YOGA Slim 7 Carbon 13ITL5 i5 1135G7/16GB/512GB/Win10 (82EV0016VN),28.590.000₫ *,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,16 GB,LPDDR4X (On board),4266 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,13.3 inch,QHD (2560 x 1600),,"300 nits Glossy
Chống chói Anti Glare
Dolby Vision
Tấm nền IPS",,Card tích hợp - Intel Iris Xe Graphics,Audio by Harman/Kardon Dolby Atmos,"2 x Thunderbolt 4 USB-C
Jack tai nghe 3.5 mm
USB Type-C",Bluetooth 5.0 Wi-Fi 6 (802.11ax),,Camera IR HD webcam,"Bản lề mở 180 độ
Mở khóa khuôn mặt
Tiêu chuẩn Nền Intel Evo
Độ bền chuẩn quân đội MLT STD 810G",Có,Dài 295.88 mm - Rộng 208.85 mm - Dày 15 mm - Nặng 0.966 kg,Mặt lưng Carbon - Chiếu nghỉ tay bằng Nhôm Magie,"Li-Polymer, 50 Wh",Windows 10 Home SL,2020
Laptop Asus TUF Gaming FX516PC i7 11370H/8GB/512GB/4GB RTX3050/144Hz/Win10 (HN001T),28.490.000₫,Intel Core i7 Tiger Lake - 11370H,4,8,3.30 GHz,Turbo Boost 4.8 GHz,12 MB,8 GB,DDR4 2 khe (1 khe 8GB onboard + 1 khe trống),3200 MHz,32 GB,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",15.6 inch,Full HD (1920 x 1080),144 Hz,"250 nits
Adaptive-Sync
Chống chói Anti Glare
Tấm nền IPS",,"Card rời - NVIDIA GeForce RTX3050, 4 GB",DTS Audio,"3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
Thunderbolt 4 USB-C",Bluetooth 5.1 Wi-Fi 6 (802.11ax),,Không tích hợp,,Có,Dài 360 mm - Rộng 252 mm - Dày 19.9 mm - Nặng 2 kg,Vỏ nhựa - nắp lưng bằng kim loại,"4-cell Li-ion, 76 Wh",Windows 10 Home SL,2021
Laptop Lenovo Yoga 7 14ITL5 i7 1165G7/8GB/512GB/Touch/Pen/Win10 (82BH00CKVN),28.490.000₫ *,Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,8 GB,DDR4 (On board),3200 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",14 inch,Full HD (1920 x 1080),60 Hz,300 nits Glossy Tấm nền IPS,Có,Card tích hợp - Intel Iris Xe Graphics,Dolby Atmos Stereo speakers,"1 x USB 3.2 (Always on)
2 x Thunderbolt 4 USB-C
Jack tai nghe 3.5 mm",Bluetooth 5.0 Wi-Fi 6 (802.11ax),,HD webcam,"Bảo mật vân tay
Công tắc khóa camera
Tiêu chuẩn Nền Intel Evo
TPM 2.0",Có,Dài 320.4 mm - Rộng 214.6 mm - Dày 17.7 mm - Nặng 1.43 kg,Vỏ kim loại,71 Wh,Windows 10 Home SL,2020
Laptop Lenovo ThinkBook 14s Yoga ITL i7 1165G7/16GB/512GB/Touch/Pen/Win10 (20WE004FVN),28.290.000₫ *,Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,16 GB,DDR4 2 khe (8GB onboard+ 1 khe 8GB),3200 MHz,40 GB,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",14 inch,Full HD (1920 x 1080),,"100% sRGB
Tấm nền IPS
Độ sáng 300 nits",Có,Card tích hợp - Intel Iris Xe Graphics,Dolby Audio Sound by Dynaudio,"1 x USB 3.2
1 x USB 3.2 (Always on)
HDMI
Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C
USB Type-C (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",Bluetooth 5.1 Wi-Fi 6 (802.11ax),Micro SD,HD webcam,"Bút cảm ứng
Bảo mật vân tay
Công tắc khóa camera",Có,Dài 320 mm - Rộng 216 mm - Dày 16.9 mm - Nặng 1.5 kg,Vỏ kim loại,60Wh,Windows 10 Home SL,2021
Laptop Acer Nitro 5 AN515 57 54AF i5 11400H/16GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QENSV.004),28.990.000₫,Intel Core i5 Tiger Lake - 11400H,6,12,2.70 GHz,Turbo Boost 4.5 GHz,12 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)
Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)",15.6 inch,Full HD (1920 x 1080),144 Hz,"Acer ComfyView
LED Backlit
Tấm nền IPS",,"Card rời - NVIDIA GeForce RTX3050, 4 GB",Acer TrueHarmony DTS X:Ultra Audio,"3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 5.1 Wi-Fi 6 (802.11ax),,HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Vỏ nhựa,"4-cell Li-ion, 57 Wh",Windows 11 Home SL,2021
Laptop Asus TUF Gaming FX506HCB i7 11800H/8GB/512GB/4GB RTX3050/144Hz/Win10 (HN141T),27.990.000₫,Intel Core i7 Tiger Lake - 11800H,8,16,2.30 GHz,Turbo Boost 4.6 GHz,24 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB) 512 GB SSD NVMe PCIe,15.6 inch,Full HD (1920 x 1080),144 Hz,"Chống chói Anti Glare
LED Backlit
Tấm nền IPS",,"Card rời - NVIDIA GeForce RTX3050, 4 GB",DTS X:Ultra Audio,"3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 5.2 Wi-Fi 6 (802.11ax),,HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 359 mm - Rộng 256 mm - Dày 24.9 mm - Nặng 2.3 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 48 Wh",Windows 10 Home SL,2021
Laptop HP Pavilion Gaming 15 dk1159TX i7 10750H/8GB/32GB+512GB/4GB GTX1650Ti/Win10 (31J36PA),27.990.000₫ *,Intel Core i7 Comet Lake - 10750H,6,12,2.60 GHz,Turbo Boost 5.0 GHz,12 MB,8 GB,DDR4 (2 khe),2933 MHz,32 GB,"512 GB SSD NVMe PCIe
Intel Optane 32GB (H10)
Hỗ trợ khe cắm HDD SATA",15.6 inch,Full HD (1920 x 1080),,"Tấm nền IPS
Chống chói Anti Glare
LED Backlit",,Card rời - NVIDIA GeForce GTX 1650Ti 4 GB,Bang & Olufsen audio,"Jack tai nghe 3.5 mm
USB Type-C (Power Delivery and DisplayPort)
HDMI
LAN (RJ45)
3 x USB A",Bluetooth 5.0 Wi-Fi 6 (802.11ax),SD,HD webcam,,Có,Dài 360 mm - Rộng 256 mm - Dày 23.4 mm - Nặng 2.23 kg,Vỏ nhựa,"3-cell Li-ion, 52.5 Wh",Windows 10 Home SL,2021
Laptop Dell Gaming G15 5515 R5 5600H/16GB/512GB/4GB RTX3050/120Hz/Win10 (P105F004BGR),27.590.000₫,AMD Ryzen 5 - 5600H,6,12,3.30 GHz,Turbo Boost 4.2 GHz,16 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,32 GB,"Không hỗ trợ khe cắm HDD
Không hỗ trợ khe cắm SSD M2 mở rộng thêm
512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",15.6 inch,Full HD (1920 x 1080),120 Hz,Chống chói Anti Glare WVA,,"Card rời - NVIDIA GeForce RTX3050, 4 GB",Nahimic Audio,"1 x USB 3.2
2 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 5.2 Wi-Fi 6 (802.11ax),,HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 357.26 mm - Rộng 272.11 mm - Dày 26.9 mm - Nặng 2.8 kg,Vỏ nhựa,"3-cell Li-ion, 56 Wh",Windows 10 Home SL,2021
Laptop Asus ZenBook Flip UX363EA i5 1135G7/8GB/512GB/OLED/Touch/Pen/Win10 (HP130T),27.490.000₫ *,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,LPDDR4X (On board),4267 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,13.3 inch,Full HD (1920 x 1080) OLED,60 Hz,"100% DCI-P3
400 nits
OLED",Có,Card tích hợp - Intel Iris Xe Graphics,Audio by Harman/Kardon SonicMaster audio,"1 x USB 3.2
2 x Thunderbolt 4 USB-C
HDMI",Bluetooth 5.0 Wi-Fi 6 (802.11ax),,Camera IR HD webcam,"Mở khóa khuôn mặt
Numberpad
Tiêu chuẩn Nền Intel Evo
Độ bền chuẩn quân đội MLT STD 810G",Có,Dài 305 mm - Rộng 211 mm - Dày 11.9 mm - Nặng 1.3 kg,Vỏ kim loại nguyên khối,"4-cell Li-ion, 67 Wh",Windows 10 Home SL,2021
Laptop Lenovo ThinkBook 14s Yoga ITL i7 1165G7/8GB/512GB/Touch/Pen/Win10 (20WE004EVN),27.390.000₫ *,Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,8 GB,DDR4 2 khe (1 khe 8GB onboard + 1 khe trống),3200 MHz,40 GB,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",14 inch,Full HD (1920 x 1080),,"100% sRGB
Tấm nền IPS
Độ sáng 300 nits",Có,Card tích hợp - Intel Iris Xe Graphics,Dolby Audio Sound by Dynaudio,"1 x USB 3.2
1 x USB 3.2 (Always on)
HDMI
Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C
USB Type-C (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",Bluetooth 5.1 Wi-Fi 6 (802.11ax),Micro SD,HD webcam,"Bút cảm ứng
Bảo mật vân tay
Công tắc khóa camera",Có,Dài 320 mm - Rộng 216 mm - Dày 16.9 mm - Nặng 1.5 kg,Vỏ kim loại,60Wh,Windows 10 Home SL,2021
Laptop Gigabyte G5 i5 11400H/16GB/512GB/4GB RTX3050/144Hz/Win10 (51S1121SH),26.990.000₫,Intel Core i5 Tiger Lake - 11400H,6,12,2.70 GHz,Turbo Boost 4.5 GHz,12 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)
Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)",15.6 inch,Full HD (1920 x 1080),144 Hz,Chống chói Anti Glare Công nghệ IPS,,"Card rời - NVIDIA GeForce RTX3050, 4 GB",DTS X:Ultra Audio,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
Mini DisplayPort
USB 2.0
USB Type-C",Bluetooth 5.2 Wi-Fi 6 (802.11ax),SD,HD webcam,,Có,Dài 361 mm - Rộng 258 mm - Dày 24.9 mm - Nặng 2.2 kg,Vỏ nhựa,"4-cell Li-ion, 41 Wh",Windows 10 Home SL,2021
Laptop Lenovo Yoga Duet 7 13IML05 i5 10210U/8GB/512GB/Touch/Pen/Win10 (82AS007BVN),26.590.000₫ *,Intel Core i5 Comet Lake - 10210U,4,8,1.60 GHz,Turbo Boost 4.2 GHz,6 MB,8 GB,DDR4 (On board),2666 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,13 inch,WQHD (2160x1350),,"Tấm nền IPS
450 nits Glossy
Dolby Vision",Có,Card tích hợp - Intel UHD Graphics,Dolby AudioPremium,"2 x USB Type-C (Power Delivery and DisplayPort)
USB Type-C
Jack tai nghe 3.5 mm",Bluetooth 5.0 Wi-Fi 6 (802.11ax),Micro SD,"Sau 5 MP, trước 5 MP Camera IR",Digital Pen Mở khóa khuôn mặt,Có,Dài 297.4 mm - Rộng 207.4 mm - Dày 9.19 mm - Nặng 1.1683 kg,Vỏ kim loại,"Li-Polymer, 42 Wh",Windows 10 Home SL,2020
Laptop Lenovo Ideapad Gaming 3 15IMH05 i7 10750H/8GB/512GB/4GB GTX1650Ti/120Hz/Win10 (81Y4013UVN),25.990.000₫ *,Intel Core i7 Comet Lake - 10750H,6,12,2.60 GHz,Turbo Boost 5.0 GHz,12 MB,8 GB,DDR4 (2 khe),2933 MHz,16 GB,512 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA,15.6 inch,Full HD (1920 x 1080),120 Hz,"Tấm nền IPS
Chống chói Anti-Glare
250 nits",,Card rời - NVIDIA GeForce GTX 1650Ti 4 GB,Dolby Audio,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)
USB Type-C",Bluetooth 5.0 Wi-Fi 6 (802.11ax),,HD webcam,Công tắc khóa camera,Có,Dài 359 mm - Rộng 249.6 mm - Dày 24.9 mm - Nặng 2.2 kg,Vỏ nhựa,45 Wh,Windows 10 Home SL,2020
Laptop Acer Swift 5 SF514 53T 720R i7 8565U/8GB/256GB/Touch/Win10 (NX.H7HSV.002),27.990.000₫,Intel Core i7 Coffee Lake - 8565U,4,8,1.80 GHz,Turbo Boost 4.6 GHz,8 MB,8 GB,DDR4 (1 khe),2133 MHz,Không hỗ trợ nâng cấp,256 GB SSD NVMe PCIe,14 inch,Full HD (1920 x 1080),,Tấm nền IPS,Có,Card tích hợp - Intel UHD Graphics 620,Acer TrueHarmony Dolby AudioPremium,"HDMI
2 x USB 3.0
USB Type-C
Jack tai nghe 3.5 mm",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,,HD webcam,Bảo mật vân tay,Có,Dài 329 mm - Rộng 228 mm - Dày 14.9 mm - Nặng 0.94 kg,Nhôm - Magie,2-cell Li-Polymer,Windows 10 Home SL,2018
Laptop Asus TUF Gaming FX506HCB i5 11400H/8GB/512GB/4GB RTX3050/144Hz/Win10 (HN139T),25.690.000₫,Intel Core i5 Tiger Lake - 11400H,6,12,2.70 GHz,Turbo Boost 4.5 GHz,12 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB) 512 GB SSD NVMe PCIe,15.6 inch,Full HD (1920 x 1080),144 Hz,"Chống chói Anti Glare
LED Backlit
Tấm nền IPS",,"Card rời - NVIDIA GeForce RTX3050, 4 GB",DTS X:Ultra Audio,"3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 5.2 Wi-Fi 6 (802.11ax),,HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 359 mm - Rộng 256 mm - Dày 24.9 mm - Nặng 2.3 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 48 Wh",Windows 10 Home SL,2021
